"","y.np","y.time","y.value","S.np","S.time","S.value","E.np","E.time","E.value","I.np","I.time","I.value","R.np","R.time","R.value","sigma.np","sigma.value","beta.np","beta.value","gamma.np","gamma.value","tau.np","tau.value","clock","loglikelihood.np","loglikelihood.value","logprior.np","logprior.value"
"1561",30,7,0.109268667794838,30,7,999997.0625,30,7,1.49987709522247,30,7,1.12808084487915,30,7,0.27235671877861,160,0.233374267816544,160,0.484989792108536,160,0.0662735998630524,160,0.953341484069824,11378,160,34.3265686035156,160,3.52098202705383
"1562",30,14,1.60986405090067,30,14,999988.8125,30,14,5.39374017715454,30,14,4.15996694564819,30,14,1.43103873729706,161,0.233374267816544,161,0.484989792108536,161,0.0662735998630524,161,0.953341484069824,11378,161,34.3265686035156,161,3.52098202705383
"1563",30,21,5.00699885854762,30,21,999958.75,30,21,19.6837921142578,30,21,15.1854400634766,30,21,5.66643762588501,162,0.219321742653847,162,0.478654265403748,162,0.0666951313614845,162,0.979243338108063,11378,162,32.8623695373535,162,4.23890686035156
"1564",30,28,1.10227343367459,30,28,999849.0625,30,28,71.8381042480469,30,28,55.4238586425781,30,28,21.1254329681396,163,0.219004839658737,163,0.499725133180618,163,0.0650519877672195,163,0.961944103240967,11378,163,32.6974868774414,163,4.90145921707153
"1565",30,35,16.2328719277685,30,35,999448.75,30,35,262.095397949219,30,35,202.246948242188,30,35,77.5422439575195,164,0.232985019683838,164,0.494610905647278,164,0.0670759975910187,164,0.972910940647125,11378,164,32.6829452514648,164,3.84825611114502
"1566",30,42,15.9581811547546,30,42,997989.75,30,42,955.093322753906,30,42,737.501220703125,30,42,283.340911865234,165,0.232985019683838,165,0.494610905647278,165,0.0670759975910187,165,0.972910940647125,11378,165,32.6829452514648,165,3.84825611114502
"1567",30,49,175.352579398379,30,49,992694.4375,30,49,3465.30908203125,30,49,2682.4453125,30,49,1032.83349609375,166,0.216703563928604,166,0.487329691648483,166,0.071198508143425,166,0.976815164089203,11378,166,33.9261131286621,166,4.6396222114563
"1568",30,56,832.897360713957,30,56,973757.125,30,56,12376.6044921875,30,56,9666.5517578125,30,56,3746.27197265625,167,0.233930483460426,167,0.476882725954056,167,0.0703306943178177,167,0.949041724205017,11378,167,35.2577323913574,167,3.20728492736816
"1569",30,63,2009.25495002423,30,63,909491.1875,30,63,41815.52734375,30,63,33710.78515625,30,63,13364.9443359375,168,0.216245859861374,168,0.488931894302368,168,0.071077860891819,168,0.970610499382019,11378,168,33.8164482116699,168,4.70828628540039
"1570",30,70,3476.30213271123,30,70,725866.4375,30,70,117946.3359375,30,70,105588.7734375,30,70,45135.6171875,169,0.215351238846779,169,0.489126116037369,169,0.0707923620939255,169,0.950546503067017,11378,169,33.2089996337891,169,4.74965476989746
"1571",30,77,6486.05907505086,30,77,394140.125,30,77,209422.90625,30,77,249397.953125,30,77,131164.046875,170,0.218136578798294,170,0.490053743124008,170,0.067186214029789,170,0.97469288110733,11378,170,34.7370491027832,170,4.66086292266846
"1572",30,84,3418.17755946174,30,84,128331.7421875,30,84,179855.59375,30,84,367563.96875,30,84,289241.4375,171,0.218136578798294,171,0.490053743124008,171,0.067186214029789,171,0.97469288110733,11378,171,34.7370491027832,171,4.66086292266846
"1573",30,91,2255.33469452152,30,91,34861.546875,30,91,85503.8984375,30,91,349567.96875,30,91,472838.3125,172,0.218136578798294,172,0.490053743124008,172,0.067186214029789,172,0.97469288110733,11378,172,34.7370491027832,172,4.66086292266846
"1574",30,98,261.828292171653,30,98,11861.578125,30,98,30878.685546875,30,98,256933.578125,30,98,624715.9375,173,0.226306989789009,173,0.481053918600082,173,0.0687386766076088,173,0.999462008476257,11378,173,35.9946556091309,173,3.9214129447937
"1575",30,105,145.709503592051,30,105,5651.25927734375,30,105,10275.255859375,30,105,166655,30,105,729166.5,174,0.226306989789009,174,0.481053918600082,174,0.0687386766076088,174,0.999462008476257,11378,174,35.9946556091309,174,3.9214129447937
"1576",30,112,340.007807954627,30,112,3545.02905273438,30,112,3463.04248046875,30,112,101926.2890625,30,112,794862.375,175,0.256304085254669,175,0.46521207690239,175,0.0682985410094261,175,0.997747838497162,11378,175,37.593189239502,175,0.26540333032608
"1577",30,119,105.87298530026,30,119,2676.34741210938,30,119,1250.44921875,30,119,60614.8984375,30,119,834462.25,176,0.239406511187553,176,0.48142397403717,176,0.0718454048037529,176,0.980218768119812,11378,176,34.6358947753906,176,2.85744071006775
"1578",30,126,2.26283966926572,30,126,2267.00268554688,30,126,500.266784667969,30,126,35559.171875,30,126,857847.1875,177,0.217321589589119,177,0.495141565799713,177,0.0706929937005043,177,0.977913916110992,11378,177,33.908763885498,177,4.84943580627441
"1579",30,133,5.85798247250653,30,133,2057.34497070312,30,133,223.400238037109,30,133,20719.958984375,30,133,871518.25,178,0.217321589589119,178,0.495141565799713,178,0.0706929937005043,178,0.977913916110992,11378,178,33.908763885498,178,4.84943580627441
"1580",30,140,0.404763020272381,30,140,1944.43090820312,30,140,109.534149169922,30,140,12032.15234375,30,140,879470.375,179,0.217321589589119,179,0.495141565799713,179,0.0706929937005043,179,0.977913916110992,11378,179,33.908763885498,179,4.84943580627441
"1581",30,147,2.41825207303083,30,147,1881.78295898438,30,147,57.399730682373,30,147,6974.83544921875,30,147,884084.0625,180,0.209914997220039,180,0.505376517772675,180,0.0699671655893326,180,0.969667553901672,11378,180,32.574348449707,180,5.38520908355713
"1582",30,154,5.03047895762353,30,154,1846.41186523438,30,154,31.3700752258301,30,154,4039.4619140625,30,154,886757.3125,181,0.209914997220039,181,0.505376517772675,181,0.0699671655893326,181,0.969667553901672,11378,181,32.574348449707,181,5.38520908355713
"1583",30,161,0.177039183661837,30,161,1826.23657226562,30,161,17.5737476348877,30,161,2338.29125976562,30,161,888305.125,182,0.209914997220039,182,0.505376517772675,182,0.0699671655893326,182,0.969667553901672,11378,182,32.574348449707,182,5.38520908355713
"1584",30,168,0.589649982450703,30,168,1814.66040039062,30,168,9.98445320129395,30,168,1353.18469238281,30,168,889201,183,0.209914997220039,183,0.505376517772675,183,0.0699671655893326,183,0.969667553901672,11378,183,32.574348449707,183,5.38520908355713
"1585",30,175,0.201958803175687,30,175,1807.9951171875,30,175,5.71761322021484,30,175,782.981140136719,30,175,889719.375,184,0.229598060250282,184,0.487686365842819,184,0.0699437633156776,184,0.974029183387756,11378,184,34.8867797851562,184,3.90459990501404
"1586",30,182,0.24985870878159,30,182,1804.14990234375,30,182,3.28872179985046,30,182,453.011993408203,30,182,890019.3125,185,0.229598060250282,185,0.487686365842819,185,0.0699437633156776,185,0.974029183387756,11378,185,34.8867797851562,185,3.90459990501404
