"","time","t","S","E","I","R","x"
"202",202,202,16352057.514475,5.53350225772641,23.6299169403658,35844294.3221058,-0.610613472007848
"203",203,203,16352056.2803916,4.72053000410089,20.1001884909781,35844299.8988899,-0.623234078368157
"204",204,204,16352055.2426574,4.01461884079093,17.0987330906259,35844304.6439907,-0.635550113369778
"205",205,205,16352054.3678297,3.40813953183402,14.5446182221498,35844308.6794125,-0.639254343667156
"206",206,206,16352053.6307505,2.88849077727476,12.3704713278929,35844312.1102874,-0.65111075301864
"207",207,207,16352053.0149818,2.44063798986112,10.5189383451555,35844315.0254419,-0.66824753974107
"208",208,208,16352052.5002018,2.05784036857724,8.94143275995184,35844317.500525,-0.67414810406566
"209",209,209,16352052.0673978,1.73409343163859,7.59763220955493,35844319.6008766,-0.67825869157671
"210",210,210,16352051.7048812,1.45937878682048,6.4532390455648,35844321.382501,-0.690724941684029
"211",211,211,16352051.4020137,1.22640646822474,5.47877838114685,35844322.8928015,-0.697112498819109
"212",212,212,16352051.1483362,1.02993614522413,4.64931327698892,35844324.1724144,-0.703028527687858
"213",213,213,16352050.9357027,0.864619669145494,3.94360703569283,35844325.2560706,-0.706925069511732
"214",214,214,16352050.7573628,0.725701085565671,3.34352054136378,35844326.1734156,-0.711087820727156
"215",215,215,16352050.6077706,0.609027778835891,2.83352259267233,35844326.9496791,-0.714294495193765
"216",216,216,16352050.482651,0.510743553020711,2.40030463608181,35844327.6063009,-0.723700047560232
"217",217,217,16352050.3783698,0.427790494114378,2.03241348020009,35844328.1614263,-0.732099311765731
"218",218,218,16352050.291107,0.358263644235849,1.72012247249745,35844328.6305069,-0.731936555904191
"219",219,219,16352050.2178236,0.300201131521199,1.45521200938604,35844329.0267633,-0.733677554709752
"220",220,220,16352050.1560376,0.251875388314993,1.23064589115173,35844329.3614412,-0.726213196941859
"221",221,221,16352050.1037255,0.211712882619781,1.04044526223205,35844329.6441163,-0.721998033166956
"222",222,222,16352050.0595938,0.178081239570503,0.879455405029862,35844329.8828696,-0.723339659189195
"223",223,223,16352050.0223435,0.149904422751998,0.743238493768532,35844330.0845136,-0.718453425566848
"224",224,224,16352049.9908914,0.126258004587038,0.62803109625682,35844330.2548195,-0.720537790740651
"225",225,225,16352049.9643571,0.106381830573448,0.530616401906143,35844330.3986447,-0.717262601057793
"226",226,226,16352049.941946,0.089676415493045,0.448268812960064,35844330.5201088,-0.718008009826247
"227",227,227,16352049.9230293,0.0756161453610562,0.378670070103623,35844330.6226845,-0.716127758736315
"228",228,228,16352049.9070573,0.0637774412863241,0.319858732192946,35844330.7093065,-0.716775974166088
"229",229,229,16352049.8936046,0.0537756818620211,0.270163656146222,35844330.782456,-0.719796154946745
"230",230,230,16352049.8822766,0.0453306421774324,0.22817219393367,35844330.8442205,-0.720304650979738
"231",231,231,16352049.8726757,0.038257255618649,0.192696093446593,35844330.8963709,-0.710531285466967
"232",232,232,16352049.8645169,0.0323321078363474,0.162737015600722,35844330.940414,-0.708194700594427
"233",233,233,16352049.8576095,0.0273346711381789,0.137441020576204,35844330.9776148,-0.706778933130953
"234",234,234,16352049.8517709,0.0231082654496356,0.116081868360041,35844331.009039,-0.708003710313091
"235",235,235,16352049.8468327,0.0195376531661713,0.0980450697721386,35844331.0355846,-0.705149884194752
"236",236,236,16352049.8426683,0.0165086668883589,0.0828137424070832,35844331.0580093,-0.712597425609407
"237",237,237,16352049.8391849,0.0139198645048817,0.0699469584953733,35844331.0769483,-0.723853392085686
"238",238,238,16352049.8362923,0.011699666784247,0.0590719191612874,35844331.0929361,-0.742612789877866
"239",239,239,16352049.8339074,0.00979542758109996,0.0498746238122346,35844331.1064226,-0.762957959803796
"240",240,240,16352049.8319385,0.00817889337770281,0.0420936037263707,35844331.117789,-0.773927490177377
"241",241,241,16352049.8303105,0.00681597406885752,0.0355110126474877,35844331.1273625,-0.788435994579115
"242",242,242,16352049.828972,0.00566478670535843,0.0299420645404145,35844331.1354211,-0.807877902382235
"243",243,243,16352049.8278757,0.0046947689359585,0.025231467447347,35844331.142198,-0.825594651573788
"244",244,244,16352049.8269788,0.00388110614527148,0.0212477858144377,35844331.1478923,-0.843829025387529
"245",245,245,16352049.8262448,0.00320254226915299,0.0178808268314787,35844331.1526718,-0.857039646242367
"246",246,246,16352049.825642,0.00264037148226863,0.0150367898241075,35844331.1566808,-0.866293589453359
"247",247,247,16352049.8251461,0.00217595226213561,0.0126363615997313,35844331.1600415,-0.875427939091965
"248",248,248,16352049.8247378,0.00179326966010762,0.0106127806179331,35844331.1628561,-0.881025230097669
"249",249,249,16352049.8244017,0.00147795351706415,0.00890879734344156,35844331.1652115,-0.890290338467147
"250",250,250,16352049.8241235,0.00121866694512087,0.00747273050124412,35844331.167185,-0.887993171377097
"251",251,251,16352049.8238913,0.00100724772059978,0.00626494116881754,35844331.1688365,-0.879643120421825
"252",252,252,16352049.8236961,0.000835382234033244,0.00525089184433418,35844331.1702176,-0.866291387956648
"253",253,253,16352049.8235315,0.000694946674609575,0.00439913925991566,35844331.1713744,-0.856393908991508
"254",254,254,16352049.8233927,0.000579526261784618,0.0036846529932268,35844331.1723431,-0.847518434447288
"255",255,255,16352049.8232756,0.000484284061150215,0.00308562031426701,35844331.1731545,-0.838841887136433
"256",256,256,16352049.8231766,0.000405719856939726,0.0025842766297209,35844331.1738333,-0.827216022221962
"257",257,257,16352049.8230928,0.000340672109090118,0.00216450327551277,35844331.1744019,-0.817539390841759
"258",258,258,16352049.8230217,0.000286651250029565,0.00181309130420733,35844331.1748785,-0.805905751931725
"259",259,259,16352049.8229612,0.000241685980884989,0.00151877361982818,35844331.1752783,-0.794075070711443
"260",260,260,16352049.8229097,0.000204253226725969,0.00127280959954201,35844331.1756132,-0.781831210048589
"261",261,261,16352049.8228659,0.000172798773955938,0.00106698367210244,35844331.1758942,-0.778043948085982
"262",262,262,16352049.8228291,0.000146089582355813,0.00089479361957193,35844331.17613,-0.781701503246309
"263",263,263,16352049.8227982,0.000123382029385867,0.000750858084736823,35844331.1763275,-0.784402821782973
"264",264,264,16352049.822772,0.000104165876753871,0.000629871393789138,35844331.1764939,-0.776234173556909
"265",265,265,16352049.8227498,8.80144699016955e-05,0.000528492172580194,35844331.1766336,-0.772079517317582
"266",266,266,16352049.8227311,7.43847395431391e-05,0.000443638851468916,35844331.1767509,-0.77086888904312
"267",267,267,16352049.8227153,6.28990942319934e-05,0.000372847968614224,35844331.1768489,-0.770258873883737
"268",268,268,16352049.822702,5.31263574381371e-05,0.000313083737387696,35844331.1769318,-0.767950229197131
"269",269,269,16352049.8226907,4.48706310976613e-05,0.000262913534686007,35844331.1770015,-0.76509861245624
"270",270,270,16352049.8226812,3.79252692193001e-05,0.000220961659732704,35844331.1770599,-0.762414117025951
"271",271,271,16352049.8226731,3.20797436753848e-05,0.000185627650422388,35844331.1771092,-0.749108722395055
"272",272,272,16352049.8226661,2.71984125857881e-05,0.00015598931234901,35844331.1771507,-0.736830572684228
"273",273,273,16352049.8226602,2.30632924554596e-05,0.000131120712613804,35844331.1771856,-0.740783688499772
"274",274,274,16352049.8226553,1.95446343612374e-05,0.000110329674767063,35844331.1772149,-0.742122825950137
"275",275,275,16352049.8226511,1.65454515950067e-05,9.27883872007679e-05,35844331.1772396,-0.739274655723613
"276",276,276,16352049.8226475,1.40067107871045e-05,7.80570296479323e-05,35844331.1772604,-0.73766254259568
"277",277,277,16352049.8226445,1.18521617105435e-05,6.56767543021458e-05,35844331.1772779,-0.738574913449339
"278",278,278,16352049.822642,1.00188025598885e-05,5.52694553527248e-05,35844331.1772927,-0.742649051760233
"279",279,279,16352049.8226399,8.46383147623447e-06,4.65181025786129e-05,35844331.1773052,-0.741105635950112
"280",280,280,16352049.8226381,7.15236950888428e-06,3.91838267990724e-05,35844331.1773156,-0.74295994919577
"281",281,281,16352049.8226365,6.04213582006778e-06,3.29875637417907e-05,35844331.1773245,-0.736311091861862
"282",282,282,16352049.8226352,5.11627697180365e-06,2.77755790945293e-05,35844331.1773319,-0.719707270297248
"283",283,283,16352049.8226341,4.34567636918858e-06,2.3394107141445e-05,35844331.1773381,-0.705370834037916
"284",284,284,16352049.8226332,3.70166946369246e-06,1.97100011019895e-05,35844331.1773434,-0.688677146422869
"285",285,285,16352049.8226323,3.16026227960657e-06,1.66136932652381e-05,35844331.1773478,-0.678205754048671
"286",286,286,16352049.8226316,2.70159494496827e-06,1.40117648231049e-05,35844331.1773516,-0.66919204618754
"287",287,287,16352049.822631,2.31383791349767e-06,1.18242310012969e-05,35844331.1773548,-0.653604267934761
"288",288,288,16352049.8226305,1.982984755121e-06,9.98305487544813e-06,35844331.1773575,-0.652856452367974
"289",289,289,16352049.82263,1.69991891847225e-06,8.43383425853258e-06,35844331.1773597,-0.64195210034054
"290",290,290,16352049.8226296,1.46050682834282e-06,7.12910320783269e-06,35844331.1773617,-0.624429510974847
