"","time","S","E","I","R"
"291",291,108998.285205497,0.00108017913283027,0.00284951284485147,891001.710864811
"292",292,108998.285058165,0.000971315123973153,0.00256232956377633,891001.711408191
"293",293,108998.284925682,0.000873422788312924,0.00230408955846536,891001.711896806
"294",294,108998.284806551,0.000785396364502986,0.00207187583043556,891001.712336177
"295",295,108998.284699426,0.000706241533466236,0.0018630653658896,891001.712731267
"296",296,108998.284603098,0.000635064186876099,0.00167529950697595,891001.713086539
"297",297,108998.284516478,0.000571060327587055,0.0015064573091301,891001.713406005
"298",298,108998.284438588,0.000513506978391363,0.001354631558379,891001.713693274
"299",299,108998.284368548,0.000461754059512393,0.00121810734417154,891001.713951591
"300",300,108998.284305566,0.000415216908536228,0.0010953423269605,891001.714183875
"301",301,108998.284248932,0.000373369838163985,0.000984949743554676,891001.714392749
"302",302,108998.284198006,0.000335740265178506,0.000885682919334252,891001.714580571
"303",303,108998.284152212,0.000301903139047427,0.000796420570906504,891001.714749465
"304",304,108998.284111034,0.000271476241139166,0.000716154405437958,891001.714901336
"305",305,108998.284074005,0.000244115876964805,0.000643977756788706,891001.715037901
"306",306,108998.284040709,0.000219512989941669,0.000579075333620849,891001.715160703
"307",307,108998.284010768,0.000197389671457359,0.000520714012947349,891001.715271129
"308",308,108998.283983845,0.00017749602157461,0.00046823455867131,891001.715370425
"309",309,108998.283959635,0.000159607326169975,0.000421044174877627,891001.715459714
"310",310,108998.283937865,0.000143521518630055,0.000378609809787401,891001.715540004
"311",311,108998.28391829,0.000129056897350649,0.000340452134520439,891001.715612202
"312",312,108998.283900687,0.000116050073276767,0.000306140128705514,891001.715677124
"313",313,108998.283884858,0.000104354124297417,0.000275286211773547,891001.715735502
"314",314,108998.283870624,9.38369356469811e-05,0.000247541864936147,891001.715787997
"315",315,108998.283857825,8.43797075670273e-05,0.0002225936943972,891001.715835202
"316",316,108998.283846316,7.58756133713962e-05,0.000200159891328307,891001.715877649
"317",317,108998.283835967,6.82285927563757e-05,0.000179987048620773,891001.715915818
"318",318,108998.283826661,6.1352191679981e-05,0.000161847100486892,891001.71595014
"319",319,108998.283818293,5.5168995147086e-05,0.000145535826147014,891001.715981003
"320",320,108998.283810768,4.96090724553218e-05,0.000130868748387835,891001.716008754
"321",321,108998.283804002,4.46095441334719e-05,0.000117679991145788,891001.716033709
"322",322,108998.283797918,4.01138552791093e-05,0.000105820362571546,891001.716056148
"323",323,108998.283792447,3.60712356605278e-05,9.51559307787803e-05,891001.716076327
"324",324,108998.283787527,3.24360259125e-05,8.55662463484013e-05,891001.716094471
"325",325,108998.283783103,2.91671676144677e-05,7.69429971546838e-05,891001.716110787
"326",326,108998.283779125,2.62277403804206e-05,6.91887872082419e-05,891001.716125459
"327",327,108998.283775548,2.35845446006058e-05,6.22160359285451e-05,891001.716138652
"328",328,108998.283772331,2.12077264739486e-05,5.59459889793405e-05,891001.716150515
"329",329,108998.283769439,1.90704408251446e-05,5.03078287800469e-05,891001.716161184
"330",330,108998.283766838,1.71485478989096e-05,4.52378746488997e-05,891001.716170776
"331",331,108998.283764499,1.54203407114503e-05,4.06788635560527e-05,891001.716179402
"332",332,108998.283762396,1.3866299879093e-05,3.65793033614309e-05,891001.716187159
"333",333,108998.283760505,1.24688731549366e-05,3.28928912323554e-05,891001.716194134
"334",334,108998.283758803,1.12115550094536e-05,2.95760855768912e-05,891001.71620041
"335",335,108998.283757274,1.00820703908108e-05,2.65965048045486e-05,891001.716206048
"336",336,108998.283755898,9.06507069882679e-06,2.39136593033499e-05,891001.716211124
"337",337,108998.28375466,8.150675069561e-06,2.15014833511914e-05,891001.716215688
"338",338,108998.283753548,7.3285189123596e-06,1.933263515475e-05,891001.716219792
"339",339,108998.283752547,6.58929337187565e-06,1.73825579507632e-05,891001.716223482
"340",340,108998.283751648,5.92463328024546e-06,1.56291844238369e-05,891001.716226799
"341",341,108998.283750839,5.32701725731244e-06,1.40526731708059e-05,891001.716229782
"342",342,108998.283750112,4.78968258754055e-06,1.26351841460061e-05,891001.716232464
"343",343,108998.283749458,4.30654870845418e-06,1.13606768237556e-05,891001.716234875
"344",344,108998.28374887,3.87214840217886e-06,1.02147286816183e-05,891001.716237044
"345",345,108998.283748341,3.48156592750558e-06,9.18437199277078e-06,891001.716238993
"346",346,108998.283747866,3.1303813926005e-06,8.25794708119335e-06,891001.716240746
"347",347,108998.283747439,2.81462073882392e-06,7.42497037896956e-06,891001.716242322
"348",348,108998.283747055,2.53071076966662e-06,6.67601579260632e-06,891001.716243739
"349",349,108998.283746709,2.27543871590421e-06,6.00260803589886e-06,891001.716245014
"350",350,108998.283746399,2.04591587940255e-06,5.39712672227812e-06,891001.716246159
"351",351,108998.283746119,1.83954494416182e-06,4.85272013133514e-06,891001.716247189
"352",352,108998.283745868,1.65399058468601e-06,4.36322767369068e-06,891001.716248115
"353",353,108998.283745642,1.48715303907758e-06,3.92311017681088e-06,891001.716248948
"354",354,108998.283745439,1.33714434780629e-06,3.52738720287211e-06,891001.716249697
"355",355,108998.283745257,1.20226698926652e-06,3.17158068935454e-06,891001.71625037
"356",356,108998.283745093,1.08099467035956e-06,2.85166427459245e-06,891001.716250975
"357",357,108998.283744945,9.71955054724326e-07,2.56401773484143e-06,891001.71625152
"358",358,108998.283744812,8.73914233166347e-07,2.30538601726534e-06,891001.716252009
"359",359,108998.283744693,7.85762760550023e-07,2.07284240525371e-06,891001.716252449
"360",360,108998.283744586,7.06503101145483e-07,1.86375539924298e-06,891001.716252845
"361",361,108998.283744489,6.3523834035962e-07,1.6757589382594e-06,891001.7162532
"362",362,108998.283744403,5.71162035111511e-07,1.50672562520631e-06,891001.71625352
"363",363,108998.283744325,5.13549087997497e-07,1.35474265290881e-06,891001.716253808
"364",364,108998.283744255,4.61747541976548e-07,1.21809015849117e-06,891001.716254066
"365",365,108998.283744192,4.15171202723322e-07,1.09522176114198e-06,891001.716254299
