S.R deSolve,S.libbi value,E.R deSolve,E.libbi value,I.R deSolve,I.libbi value,R.R deSolve,R.libbi value
1880751.008,1437284.638,3.56E-05,2.11E-05,0.002771171,0.001311246,50315629.99,50759096.36
1880751.008,1437284.638,3.18E-05,1.88E-05,0.002464603,0.001166945,50315629.99,50759096.36
1880751.008,1437284.638,2.85E-05,1.67E-05,0.002192003,0.001038524,50315629.99,50759096.36
1880751.008,1437284.638,2.53E-05,1.49E-05,0.001949556,0.000924235,50315629.99,50759096.36
1880751.008,1437284.638,2.26E-05,1.33E-05,0.001733927,0.000822524,50315629.99,50759096.36
1880751.008,1437284.638,2.01E-05,1.18E-05,0.001542159,0.000732006,50315629.99,50759096.36
1880751.008,1437284.638,1.78E-05,1.05E-05,0.001371598,0.00065145,50315629.99,50759096.36
1880751.008,1437284.638,1.58E-05,9.34E-06,0.001219885,0.000579758,50315629.99,50759096.36
1880751.008,1437284.638,1.41E-05,8.31E-06,0.001084953,0.000515956,50315629.99,50759096.36
1880751.008,1437284.638,1.26E-05,7.40E-06,0.000964961,0.000459176,50315629.99,50759096.36
1880751.008,1437284.638,1.12E-05,6.58E-06,0.000858244,0.000408644,50315629.99,50759096.36
1880751.008,1437284.638,9.85E-06,5.86E-06,0.000763316,0.000363673,50315629.99,50759096.36
1880751.008,1437284.638,8.63E-06,5.21E-06,0.000678864,0.000323651,50315629.99,50759096.36
1880751.008,1437284.638,7.66E-06,4.64E-06,0.000603742,0.000288034,50315629.99,50759096.36
1880751.008,1437284.638,6.85E-06,4.13E-06,0.000536938,0.000256336,50315629.99,50759096.36
1880751.008,1437284.638,6.04E-06,3.68E-06,0.000477523,0.000228127,50315629.99,50759096.36
1880751.008,1437284.638,5.30E-06,3.27E-06,0.00042467,0.000203021,50315629.99,50759096.36
1880751.008,1437284.638,4.67E-06,2.91E-06,0.000377656,0.000180679,50315629.99,50759096.36
1880751.008,1437284.638,4.14E-06,2.59E-06,0.000335841,0.000160796,50315629.99,50759096.36
1880751.008,1437284.638,3.70E-06,2.31E-06,0.000298659,0.0001431,50315629.99,50759096.36
1880751.008,1437284.638,3.27E-06,2.05E-06,0.000265591,0.000127352,50315629.99,50759096.36
1880751.008,1437284.638,2.91E-06,1.83E-06,0.000236184,0.000113337,50315629.99,50759096.36
1880751.008,1437284.638,2.61E-06,1.63E-06,0.000210034,0.000100865,50315629.99,50759096.36
1880751.008,1437284.638,2.37E-06,1.45E-06,0.000186786,8.98E-05,50315629.99,50759096.36
1880751.008,1437284.638,2.17E-06,1.29E-06,0.000166122,7.99E-05,50315629.99,50759096.36
1880751.008,1437284.638,2.00E-06,1.15E-06,0.000147757,7.11E-05,50315629.99,50759096.36
1880751.008,1437284.638,1.84E-06,1.02E-06,0.000131435,6.33E-05,50315629.99,50759096.36
1880751.008,1437284.638,1.68E-06,9.07E-07,0.000116925,5.63E-05,50315629.99,50759096.36
1880751.008,1437284.638,1.53E-06,8.07E-07,0.000104026,5.01E-05,50315629.99,50759096.36
1880751.008,1437284.638,1.38E-06,7.18E-07,9.26E-05,4.46E-05,50315629.99,50759096.36
1880751.008,1437284.638,1.23E-06,6.39E-07,8.23E-05,3.97E-05,50315629.99,50759096.36
1880751.008,1437284.638,1.08E-06,5.69E-07,7.33E-05,3.53E-05,50315629.99,50759096.36
1880751.008,1437284.638,9.48E-07,5.06E-07,6.52E-05,3.14E-05,50315629.99,50759096.36
1880751.008,1437284.638,8.23E-07,4.51E-07,5.80E-05,2.80E-05,50315629.99,50759096.36
1880751.008,1437284.638,7.32E-07,4.01E-07,5.16E-05,2.49E-05,50315629.99,50759096.36
1880751.008,1437284.638,6.54E-07,3.57E-07,4.59E-05,2.22E-05,50315629.99,50759096.36
1880751.008,1437284.638,5.69E-07,3.18E-07,4.08E-05,1.97E-05,50315629.99,50759096.36
1880751.008,1437284.638,4.95E-07,2.83E-07,3.63E-05,1.75E-05,50315629.99,50759096.36
1880751.008,1437284.638,4.40E-07,2.52E-07,3.23E-05,1.56E-05,50315629.99,50759096.36
1880751.008,1437284.638,3.92E-07,2.24E-07,2.87E-05,1.39E-05,50315629.99,50759096.36
1880751.008,1437284.638,3.49E-07,1.99E-07,2.56E-05,1.24E-05,50315629.99,50759096.36
1880751.008,1437284.638,3.14E-07,1.77E-07,2.27E-05,1.10E-05,50315629.99,50759096.36
1880751.008,1437284.638,2.81E-07,1.58E-07,2.02E-05,9.80E-06,50315629.99,50759096.36
1880751.008,1437284.638,2.55E-07,1.40E-07,1.80E-05,8.72E-06,50315629.99,50759096.36
