"","time","x","S","E","I","R","Z"
"226",226,-3.23137312708423,51514893.1222786,1.57091879493528e-07,6.89241842633832e-06,4462041.9724564,112.8266542905
"227",227,-3.23137312708423,51514893.1222786,1.43926325628669e-07,6.31477872692384e-06,4462041.97245696,112.826654320601
"228",228,-3.23137312708423,51514893.1222786,1.31864150303347e-07,5.78554984671682e-06,4462041.97245748,112.82665434818
"229",229,-3.23137312708423,51514893.1222786,1.20812881585577e-07,5.30067457251202e-06,4462041.97245795,112.826654373447
"230",230,-3.23137312708423,51514893.1222785,1.10687797429657e-07,4.85643571796725e-06,4462041.97245838,112.826654396597
"231",231,-3.23137312708423,51514893.1222785,1.0141127617381e-07,4.44942762663715e-06,4462041.97245878,112.826654417806
"232",232,-3.23137312708423,51514893.1222785,9.29122014713183e-08,4.07653006328034e-06,4462041.97245914,112.826654437238
"233",233,-3.23137312708423,51514893.1222785,8.51254170931761e-08,3.73488429328341e-06,4462041.97245948,112.826654455042
"234",234,-3.23137312708423,51514893.1222785,7.79912274226342e-08,3.4218711668203e-06,4462041.97245978,112.826654471353
"235",235,-3.23137312708423,51514893.1222784,7.14549398122909e-08,3.13509103973401e-06,4462041.97246006,112.826654486298
"236",236,-3.23137312708423,51514893.1222784,6.54664452953119e-08,2.87234537720884e-06,4462041.97246032,112.82665449999
"237",237,-3.23137312708423,51514893.1222784,5.9979834436399e-08,2.6316198992017e-06,4462041.97246055,112.826654512534
"238",238,-3.23137312708423,51514893.1222784,5.49530453775144e-08,2.41106913842097e-06,4462041.97246077,112.826654524027
"239",239,-3.23137312708423,51514893.1222784,5.03475413801836e-08,2.20900229246993e-06,4462041.97246096,112.826654534557
"240",240,-3.23137312708423,51514893.1222784,4.61280153923282e-08,2.0238702616936e-06,4462041.97246114,112.826654544204
"241",241,-3.23137312708423,51514893.1222784,4.22621193747577e-08,1.85425377335749e-06,4462041.97246131,112.826654553043
"242",242,-3.23137312708423,51514893.1222784,3.87202163122613e-08,1.69885250111502e-06,4462041.97246146,112.826654561141
"243",243,-3.23137312708423,51514893.1222784,3.54751530081518e-08,1.55647509635044e-06,4462041.9724616,112.826654568561
"244",244,-3.23137312708423,51514893.1222784,3.250205192044e-08,1.42603005497479e-06,4462041.97246173,112.826654575358
"245",245,-3.23137312708423,51514893.1222784,2.97781204437999e-08,1.30651734965732e-06,4462041.97246184,112.826654581586
"246",246,-3.23137312708423,51514893.1222783,2.72824761752288e-08,1.19702076334273e-06,4462041.97246195,112.826654587292
"247",247,-3.23137312708423,51514893.1222783,2.49959868238395e-08,1.09670086528083e-06,4462041.97246205,112.82665459252
"248",248,-3.23137312708423,51514893.1222783,2.29011235374906e-08,1.0047885757211e-06,4462041.97246214,112.82665459731
"249",249,-3.23137312708423,51514893.1222783,2.09818265218163e-08,9.20579269937126e-07,4462041.97246222,112.826654601698
"250",250,-3.23137312708423,51514893.1222783,1.92233819214545e-08,8.4342737638092e-07,4462041.97246229,112.826654605718
"251",251,-3.23137312708423,51514893.1222783,1.76123090196112e-08,7.72741427555052e-07,4462041.97246236,112.826654609402
